E0 filtered data,E0 baseline data,E0 touch threshold,E0 release threshold,E1 filtered data,E1 baseline data,E1 touch threshold,E1 release threshold,E2 filtered data,E2 baseline data,E2 touch threshold,E2 release threshold,E3 filtered data,E3 baseline data,E3 touch threshold,E3 release threshold,E4 filtered data,E4 baseline data,E4 touch threshold,E4 release threshold,E5 filtered data,E5 baseline data,E5 touch threshold,E5 release threshold,E6 filtered data,E6 baseline data,E6 touch threshold,E6 release threshold,E7 filtered data,E7 baseline data,E7 touch threshold,E7 release threshold,E8 filtered data,E8 baseline data,E8 touch threshold,E8 release threshold,E9 filtered data,E9 baseline data,E9 touch threshold,E9 release threshold,E10 filtered data,E10 baseline data,E10 touch threshold,E10 release threshold,E11 filtered data,E11 baseline data,E11 touch threshold,E11 release threshold
478,476,445,461,518,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
478,476,445,461,518,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
478,476,445,461,518,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
478,476,445,461,517,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
478,476,445,461,517,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
478,476,445,461,517,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
478,476,445,461,517,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
479,476,445,461,519,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
479,476,445,461,518,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
479,476,445,461,518,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
479,476,445,461,518,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
479,476,445,461,518,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
480,476,445,461,519,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
481,476,445,461,521,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
480,476,445,461,520,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
483,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
486,476,445,461,526,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
485,476,445,461,526,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
482,476,445,461,521,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
483,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
486,476,445,461,527,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
487,476,445,461,527,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
482,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
485,476,445,461,525,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
485,476,445,461,525,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
485,476,445,461,525,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
484,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
484,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
484,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
484,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
483,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
483,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
483,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
483,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
483,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
483,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
482,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
481,476,445,461,521,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
481,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
481,476,445,461,521,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
481,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
481,476,445,461,521,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
481,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
481,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
482,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
482,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
481,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
480,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
480,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
480,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
480,476,445,461,525,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
479,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
478,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
478,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
478,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
477,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
477,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
477,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
476,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
475,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
475,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
475,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
475,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
475,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
475,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
475,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
475,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
475,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
475,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
476,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
475,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
475,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
475,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,524,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
477,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,831,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,831,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,809,808,604,706
476,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
477,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
476,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,831,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
477,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
477,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
477,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,831,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
477,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
477,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
477,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
477,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
477,476,445,461,523,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,868,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,798,796,566,681,810,808,604,706
477,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
477,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
477,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,810,808,604,706
477,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
477,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
477,476,445,461,522,792,548,670,818,816,561,689,839,836,581,709,861,860,605,733,889,888,633,761,867,864,663,764,845,844,640,742,832,828,602,715,857,856,682,769,797,796,566,681,809,808,604,706
